Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:40:11,20.134s,INCOMPLETE
,,,,,,,
Test Cases/001 - Login,Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:40:11,19.820s,PASSED
"productNumber = ""1934795""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.002s,PASSED
"FirstName = ""John""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.001s,PASSED
"LastName = ""Doe""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.001s,PASSED
"address = ""Alabama Street""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.001s,PASSED
"city = ""Alabama""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.001s,PASSED
"visaCardNumber = ""4111111111111111""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.001s,PASSED
"expireDate = ""1224""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.001s,PASSED
"securityCode = ""900""",Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:39:51,0.001s,PASSED
b2b.utilities.Navigation.OpenBrowser(url),Chrome 75.0.3770.142,,,2019-07-24 11:39:51,2019-07-24 11:40:01,9.477s,PASSED
"click(findTestObject(""Object Repository/button_AcceptCookies""))",Chrome 75.0.3770.142,,,2019-07-24 11:40:01,2019-07-24 11:40:01,0.139s,PASSED
"Login(memberUsername, memberPassword)",Chrome 75.0.3770.142,,,2019-07-24 11:40:01,2019-07-24 11:40:01,0.002s,PASSED
"click(findTestObject(""Object Repository/a_SignInRegister""))",Chrome 75.0.3770.142,,,2019-07-24 11:40:01,2019-07-24 11:40:02,1.024s,PASSED
"setText(findTestObject(""Object Repository/input_EmailAddress""), username, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-24 11:40:02,2019-07-24 11:40:02,0.185s,PASSED
"setText(findTestObject(""Object Repository/input_UserPassword""), password, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-24 11:40:02,2019-07-24 11:40:02,0.126s,PASSED
"click(findTestObject(""Object Repository/button_LogIn""))",Chrome 75.0.3770.142,,,2019-07-24 11:40:02,2019-07-24 11:40:04,2.006s,PASSED
"verifyTextPresent(""WELCOME JOHN"", false, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-24 11:40:04,2019-07-24 11:40:05,0.151s,PASSED
"setText(findTestObject(""Object Repository/input_Search""), productNumber, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-24 11:40:05,2019-07-24 11:40:05,0.104s,PASSED
"sendKeys(findTestObject(""Object Repository/input_Search""), Keys.chord(ENTER))",Chrome 75.0.3770.142,,,2019-07-24 11:40:05,2019-07-24 11:40:07,2.235s,PASSED
"click(findTestObject(""Object Repository/button_AddToCart""))",Chrome 75.0.3770.142,,,2019-07-24 11:40:07,2019-07-24 11:40:07,0.083s,PASSED
"click(findTestObject(""Object Repository/a_ConfirmAddToCart""))",Chrome 75.0.3770.142,,,2019-07-24 11:40:07,2019-07-24 11:40:09,1.848s,PASSED
"click(findTestObject(""Object Repository/button_Check Out""))",Chrome 75.0.3770.142,,,2019-07-24 11:40:09,2019-07-24 11:40:11,2.069s,PASSED
