Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:36:36,1m - 0.015s,INCOMPLETE
,,,,,,,
Test Cases/001 - Login,Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:36:14,38.314s,ERROR
"productNumber = ""3887121""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.002s,PASSED
"FirstName = ""John""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.001s,PASSED
"LastName = ""Doe""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.001s,PASSED
"address = ""Alabama Street""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.001s,PASSED
"city = ""Alabama""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.001s,PASSED
"visaCardNumber = ""4111111111111111""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.001s,PASSED
"expireDate = ""1224""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.001s,PASSED
"securityCode = ""900""",Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:35:36,0.000s,PASSED
b2b.utilities.Navigation.OpenBrowser(baseUrl),Chrome 75.0.3770.142,,,2019-08-08 09:35:36,2019-08-08 09:36:01,24.502s,PASSED
"Login(memberUsername, memberPassword)",Chrome 75.0.3770.142,,,2019-08-08 09:36:01,2019-08-08 09:36:01,0.002s,PASSED
"click(findTestObject(""Object Repository/a_SignInRegister""))",Chrome 75.0.3770.142,,,2019-08-08 09:36:01,2019-08-08 09:36:04,2.682s,PASSED
"setText(findTestObject(""Object Repository/input_EmailAddress""), username, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-08 09:36:04,2019-08-08 09:36:04,0.178s,PASSED
"setText(findTestObject(""Object Repository/input_UserPassword""), password, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-08 09:36:04,2019-08-08 09:36:04,0.111s,PASSED
"click(findTestObject(""Object Repository/button_LogIn""))",Chrome 75.0.3770.142,,,2019-08-08 09:36:04,2019-08-08 09:36:07,3.423s,PASSED
"setText(findTestObject(""Object Repository/input_Search""), productNumber, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-08-08 09:36:07,2019-08-08 09:36:07,0.110s,PASSED
"sendKeys(findTestObject(""Object Repository/input_Search""), Keys.chord(ENTER))",Chrome 75.0.3770.142,,,2019-08-08 09:36:07,2019-08-08 09:36:09,1.594s,PASSED
"click(findTestObject(""Object Repository/button_AddToCart""))",Chrome 75.0.3770.142,,,2019-08-08 09:36:09,2019-08-08 09:36:09,0.102s,PASSED
"click(findTestObject(""Object Repository/a_ConfirmAddToCart""))",Chrome 75.0.3770.142,,,2019-08-08 09:36:09,2019-08-08 09:36:11,1.898s,PASSED
"click(findTestObject(""Object Repository/button_Check Out""))",Chrome 75.0.3770.142,,,2019-08-08 09:36:11,2019-08-08 09:36:13,1.731s,PASSED
"comment(""Fill the shipping address information"")",Chrome 75.0.3770.142,,,2019-08-08 09:36:13,2019-08-08 09:36:13,0.023s,PASSED
"click(findTestObject(""Object Repository/Checkout/button_NextPaymentType""))",Chrome 75.0.3770.142,,,2019-08-08 09:36:13,2019-08-08 09:36:14,1.510s,PASSED
"click(findTestObject(""Object Repository/Checkout/button_NextBilling"", false, STOP_ON_FAILURE))",Chrome 75.0.3770.142,,,2019-08-08 09:36:14,2019-08-08 09:36:14,0.003s,PASSED
